Executing COFGA_resnet152_dropOut_weightDecay_batchNorm_200epochs
Total number of images:  11617
Number of train images:  8132
Number of validation images:  3485

Dataloader completed
USING CUDA!
Network constructed
[185], Train loss: 2.158, Val loss: 5.037, Train mAP: 82.234 %, Val mAP: 54.562 %
[186], Train loss: 2.180, Val loss: 7.882, Train mAP: 80.727 %, Val mAP: 54.727 %
[187], Train loss: 2.187, Val loss: 5.182, Train mAP: 75.340 %, Val mAP: 59.288 %
[188], Train loss: 2.177, Val loss: 6.092, Train mAP: 77.075 %, Val mAP: 48.740 %
[189], Train loss: 2.194, Val loss: 9.490, Train mAP: 76.076 %, Val mAP: 51.858 %
[190], Train loss: 2.133, Val loss: 4.981, Train mAP: 72.786 %, Val mAP: 58.266 %
[191], Train loss: 2.111, Val loss: 8.063, Train mAP: 74.524 %, Val mAP: 52.461 %
[192], Train loss: 2.127, Val loss: 5.123, Train mAP: 74.961 %, Val mAP: 59.354 %
[193], Train loss: 2.133, Val loss: 5.048, Train mAP: 73.944 %, Val mAP: 57.665 %
[194], Train loss: 2.107, Val loss: 5.038, Train mAP: 74.094 %, Val mAP: 59.042 %
[195], Train loss: 2.139, Val loss: 4.991, Train mAP: 76.095 %, Val mAP: 56.567 %
[196], Train loss: 2.098, Val loss: 4.966, Train mAP: 72.815 %, Val mAP: 55.873 %
[197], Train loss: 2.092, Val loss: 5.035, Train mAP: 74.601 %, Val mAP: 53.448 %
[198], Train loss: 2.063, Val loss: 7.154, Train mAP: 74.622 %, Val mAP: 52.068 %
[199], Train loss: 2.043, Val loss: 7.083, Train mAP: 74.125 %, Val mAP: 51.885 %
[200], Train loss: 2.096, Val loss: 5.002, Train mAP: 75.972 %, Val mAP: 56.577 %

Finished Training 

